"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
89,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,NA,"uc021oer.1",NA
90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"643988","uc021oes.1","C1orf233"
91,6.09,0,0,0.52,22.64,4.3,14.91,0,0,1.74,0,84.63,3.67,0,0,0,NA,"uc001agf.1",NA
92,2,0,0,0,6.32,0,0,0,0,0,0,151.04,2,0,0,0,"142678","uc001agg.3,uc001agh.3,uc001agi.3,uc001agj.3,uc001agk.3,uc001agl.2,uc001agm.3,uc001agn.3,uc001ago.3,uc009vkh.3,uc010nyq.2","MIB2"
93,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,"8510","uc001agp.3,uc001agq.3,uc001agr.3,uc009vki.3","MMP23B"
94,52.37,3.11,6.59,1.58,109.23,24.95,39.16,50.98,60.2,2.54,3,528.94,21.4,3.85,17.11,0,"984","uc001ahc.2,uc009vkj.2,uc031tmf.1,uc031tmg.1,uc031tmh.1,uc031tmi.1,uc031tmj.1,uc031tmk.1,uc031tml.1,uc031tmm.1,uc031tmn.1","CDK11B"
95,26.91,7.47,79.58,83.24,1220.37,167.26,28.18,41.49,3.1,7.39,0,1900.2,66.46,0,4.15,0,"728661","uc009vkl.2,uc009vkn.2,uc021oeu.1,uc031tmo.1,uc031tmp.1,uc031tmq.1,uc031tmr.1","SLC35E2B"
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8511","uc001ahi.1,uc009vko.1","MMP23A"
97,173.21,20.55,30.64,43.79,874.77,294.8,186.27,30.9,81.05,11.82,8.71,1984.43,151.72,1,85.34,0,"728642","uc001ahj.4,uc001ahu.1,uc001ahv.1,uc001ahw.2,uc009vkp.3,uc009vkq.3,uc009vkr.3,uc009vks.3,uc009vkt.1,uc009vku.1,uc009vkv.1,uc010nys.2,uc010nyt.1,uc010nyu.1,uc031tms.1,uc031tmt.1","CDK11A"
98,14.25,1.52,0,1.23,13.51,5.31,9.92,2.46,1.26,0,0.72,16.38,3.77,1.01,0,0,NA,"uc001ahx.3",NA
