"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
213,0,0,0,0,0,0,0,0,"100505975","uc021oft.1","ENO1-AS1"
214,2.88,3.02,0,4.02,1.02,1,0.88,0,"765","uc001apm.4,uc009vmn.4,uc021ofu.2,uc031plc.1,uc031pld.1","CA6"
215,0,0,0,0,0,0,0,0,"155184","uc009vmo.1","SLC2A7"
216,20.6,10,13.25,0,0,0,4,0,"6518","uc001apo.3,uc001app.4,uc010nzy.2,uc010nzz.2,uc010oaa.2,uc010oac.2,uc021ofv.1","SLC2A5"
217,19.74,24.87,11.67,44.18,16.77,12.93,78.72,19.9,"80045","uc001apq.1,uc001apr.3,uc010oad.1","GPR157"
218,1,0,2.01,1.4,1.17,2,0.23,2.21,NA,"uc001aps.3",NA
219,4.08,2.81,1,9.43,0.97,0,3.95,6.02,"NA,407040","uc009vmq.3,uc021ofw.1","NA,MIR34A"
220,36.77,20.76,21.84,76.61,25.93,19.27,59.25,44.07,"9563","uc001apt.3,uc031tny.1","H6PD"
221,1,0,0,0,2,0,0,0,"80176","uc001apv.3,uc010oae.2","SPSB1"
222,9.43,2.81,3.31,14.1,0,1.02,0.82,4.9,"100506022","uc031tnz.1,uc031toa.1","LOC100506022"
223,0,0,0,0,0,0,0,0,NA,"uc021ofx.1",NA
224,0,0,0,0.74,0,0,0,0,NA,"uc031tob.1",NA
225,3,0,0,0,0,0,0,0,"84275","uc001apw.3","SLC25A33"
226,0,2,1,20,0,0,5,19,"199953","uc001apy.3,uc021ofy.1,uc021ofz.1","TMEM201"
227,115.67,133.09,54.04,405.68,22.16,31.11,146.4,155.3,"5293","uc001aqa.2,uc001aqb.4,uc001aqe.4,uc010oaf.2,uc021ogb.1","PIK3CD"
228,6,1,6,77.09,4,11,8.33,15.62,"644997","uc001aqc.4","C1orf200"
229,0,3,2,0,0,2.02,2,0,NA,"uc021oga.1",NA
230,25.09,21,47.82,142.09,11.68,13.01,24,33.04,"22883","uc001aqf.3,uc001aqh.3,uc001aqi.3,uc010oag.2","CLSTN1"
231,0,0,0,0,0,0,0,0,"56998","uc001aqk.1,uc001aql.1","CTNNBIP1"
232,15,12,10,6,5,0,12.99,0,"84328","uc001aqm.3,uc001aqo.3,uc009vmr.3,uc010oah.2","LZIC"
233,42.5,25.98,24.95,85.42,26.33,26.2,123.77,33.24,"64802","uc001aqp.3","NMNAT1"
234,0,0,0,0,0,0,0,0,"100847055","uc031toc.1","MIR5697"
235,1,1.01,0,2.54,0,0,1.77,0,"116362","uc001aqq.3,uc009vms.3","RBP7"
236,0,0,0,0,0,0,0,0,NA,"uc031tod.1",NA
237,0,0,0,0,0,0,0,0,NA,"uc031toe.1",NA
238,52,72.63,18,78.99,60.48,96.67,167.56,76.33,"10277","uc001aqr.4,uc001aqs.4,uc001aqu.3,uc010oai.2,uc010oaj.2,uc021ogc.1","UBE4B"
