"gene_id","235-1_M_265","235-1_N_257","235-1_P_273","235-1_T_281","235_M_217","235_N_209","235_P_225","235_T_233","entrez_id","transcript_id","gene_symbol"
43098,6.45,4.97,2.68,12.52,12,0,3.25,11.97,"51606","uc003xrk.4,uc003xrl.4,uc003xrm.4,uc003xrn.4,uc010lyd.4,uc011ldv.3","ATP6V1H"
43099,0,0,0,0,0,0,0,0,NA,"uc033blh.1",NA
43100,0,0,0,0,0,0,0,0,NA,"uc033bli.1",NA
43101,4.04,0,0,0,0,0,1.52,0,"8601","uc003xrp.4,uc003xrq.4,uc003xrr.3,uc003xrs.4,uc003xrt.4,uc010lye.4,uc010lyf.4","RGS20"
43102,21.38,11.05,24.98,12.1,4.06,4.4,16.62,19.99,"6917","uc003xru.4,uc003xrv.4,uc010lyg.4,uc011ldw.3","TCEA1"
43103,0,28.61,0,0,0,9.33,6.71,0,NA,"uc033blj.1",NA
43104,0,0,0,0,0,0,0,0,NA,"uc003xrx.3",NA
43105,6.75,0,34.7,7.33,0.92,0.98,8.76,11.81,"10434","uc003xry.4,uc003xrz.4,uc011ldx.3,uc033blk.1,uc033bll.1,uc033blm.1","LYPLA1"
43106,0,0,0,0,0,0,0,0,NA,"uc033bln.1",NA
43107,0,0,0,0,0,0,0,0,NA,"uc033blo.1",NA
43108,0,0,0,0,0,0,0,0,NA,"uc033blp.1",NA
43109,0,2.4,10.06,6.79,0,10.11,1.1,4.15,"29088","uc003xsa.2","MRPL15"
43110,0,0,0,0,0,0,0,0,"26766","uc033blq.1","RNU105C"
43111,0,0,0,0,0,0,0,0,"64321","uc003xsb.4","SOX17"
43112,0,0,0,0,0,0,0,0,NA,"uc033blr.1",NA
43113,0,0,0,0,0,0,0,0,"6101","uc003xsd.1,uc011ldy.1","RP1"
43114,0,0,0,0,0,0,0,0,NA,"uc033bls.1",NA
43115,0,0,0,0,0,0,0,0,"114786","uc003xsf.3","XKR4"
43116,0,0,0.43,0,1.4,0,0.2,0,"100133234","uc011ldz.2","SBF1P1"
43117,0,0,0,0,0,0,0,0,NA,"uc033blt.1",NA
43118,0,0,0,0,0,0,0,0,NA,"uc033blu.1",NA
43119,7.92,1.72,1.17,8.85,4.39,1.48,1.71,5.48,"137695","uc003xsg.2,uc003xsh.2,uc003xsi.2,uc033blv.1","TMEM68"
43120,4.95,6.4,1.62,7.51,13.97,2.97,2,8.46,"96764","uc003xsj.4,uc010lyh.3","TGS1"
43121,15.13,5.72,24.75,0.98,13.64,4.59,11.13,0,"4067","uc003xsk.4,uc003xsl.4","LYN"
43122,0,0,0,0,0,0,0,0,NA,"uc033blw.1",NA
43123,158.36,32.22,99.07,165.26,593.37,374.76,77.64,243.23,"6224,NA","uc003xsm.2,uc003xsn.2,uc011lea.1","RPS20,NA"
43124,0,0,0,0,0,0,0,0,"26795","uc003xso.1","SNORD54"
43125,0,0,0,0,0,0,0,0,NA,"uc033blx.1",NA
43126,0,0,0,0,0,0,0,0,NA,"uc033bly.1",NA
43127,0,0,0,0,0,0,0,0,NA,"uc033blz.1",NA
43128,0,0,0,0,0,0,0,0,"4342","uc011leb.2","MOS"
43129,0.79,0,0,0.13,1.57,1.01,4.7,1.64,"5324","uc003xsq.4,uc003xsr.4,uc010lyi.3,uc010lyj.3","PLAG1"
43130,0,2.44,1.77,6.55,1.58,0,0.45,4.71,"79145","uc003xss.3,uc003xst.3,uc003xsu.3,uc003xsv.3,uc003xsw.3,uc003xsx.3","CHCHD7"
43131,3.1,0,0.96,0,1.55,0,0.22,0,"195814","uc003xsy.1,uc010lyk.1,uc010lyl.1","SDR16C5"
43132,0,0,0,0,0,0,0,0,"442388","uc033bma.1","SDR16C6P"
43133,0,0,0,0,0,0,0,0,"5179","uc003xsz.2,uc003xta.3,uc010lym.3","PENK"
43134,33.59,16.21,22.98,15.31,73.96,13.87,17.62,32.41,NA,"uc003xtb.1",NA
43135,0,0,0,0,0,0,0,0,"100507632","uc003xtc.2","LINC00968"
43136,3.22,0.78,1.47,2.87,5.74,0.32,1.58,2.97,"54928","uc003xte.4","IMPAD1"
43137,0,0,0,0,0,0,0,0,NA,"uc033bmb.1",NA
43138,0,0,0,0,0,0,0,0,NA,"uc033bmc.1",NA
43139,0,0,0,0,0,0,0,0,NA,"uc033bmd.1",NA
43140,0,0,0,0,0,0,0,0,NA,"uc033bme.1",NA
43141,0,0,0,0,0,0,0.69,0,"100507651","uc003xtf.3","LOC100507651"
43142,0,0,0,0,0,0,0,0.46,"286177","uc022aut.1","LOC286177"
43143,0,0,0,0,0,0,0,0,"26138","uc003xtg.3","LINC00588"
43144,0,0,0,0,0,0,0,0,NA,"uc003xth.3",NA
43145,0,0,0,0,0,0,0,0,NA,"uc003xti.1",NA
43146,0,0,0,0,0,0,0,0,NA,"uc033bmf.1",NA
43147,0,0,0,0,0,0,0,0,NA,"uc033bmg.1",NA
43148,0,0,0,0,0,0,5.75,0,"90362","uc003xtj.1","FAM110B"
43149,0,0,0,0,0,0,0,0,NA,"uc033bmh.1",NA
43150,0,0,0,0,0,0,0,0,"101929528","uc003xtk.3","LOC101929528"
43151,1.35,6.73,12.78,7.08,5.17,3.29,8.69,5.39,"137886","uc003xtl.3","UBXN2B"
43152,0,0,0,0,0,0,0,0,NA,"uc033bmi.1",NA
43153,0,0,0,0,0.78,0,0,0,"1581","uc003xtm.4","CYP7A1"
43154,6.96,9.48,18.48,4.84,44.03,7.5,10.48,8.49,"6386","uc003xtn.3,uc003xto.3,uc003xtp.3,uc003xtq.3,uc003xtr.3,uc003xts.5,uc011led.2","SDCBP"
43155,9.55,12.33,5.36,6.51,14.59,4.05,7.4,1.14,"8439","uc003xtt.3,uc011lee.2","NSMAF"
43156,0,0,0,0,0,0,0,0,NA,"uc022auv.1",NA
43157,0,1.96,1.34,2.48,2.19,8.14,4.83,5.62,NA,"uc003xtv.2",NA
43158,0,0,0,0,0,0,0,0,NA,"uc033bmj.1",NA
43159,0,0,0,0,0,0,0,0,NA,"uc033bmk.1",NA
43160,0,0,0,0,0,0,0,0,NA,"uc033bml.1",NA
43161,9.81,0.94,1.31,6.61,17.27,0,1.2,9.13,"9760","uc003xtw.1","TOX"
43162,0,0,0,0,0,0,0,0,NA,"uc022auw.1",NA
43163,0,0,0,0,0,0,0,0,NA,"uc033bmm.1",NA
43164,0,0,0,0,0,0,0,0,NA,"uc033bmn.1",NA
43165,0,0,0,0,0,0,0,0,NA,"uc033bmo.1",NA
43166,0,0,0,0,0,0,0,0,NA,"uc033bmp.1",NA
43167,0,0,0,0,0,0,0,0,NA,"uc033bmq.1",NA
43168,0,0,0,0,0,0,0,0,NA,"uc033bmr.1",NA
43169,0,0,0,0,0,0,0,0,NA,"uc033bms.1",NA
43170,0,0,0,0,0,0,0,0,"767","uc003xtz.1,uc003xua.1,uc003xub.3","CA8"
43171,0,0,0,0,0,0,0,0,NA,"uc033bmt.1",NA
43172,0,0,0.79,0.29,0,0,0.49,2.73,"100505532","uc003xuc.2","LINC01301"
43173,0,0,0,0,0,0,0,0,NA,"uc033bmu.1",NA
43174,0,1.05,4.37,2.41,11.07,0,0.5,5.17,"5862","uc003xud.2,uc011lef.2","RAB2A"
43175,0,0,0,0,0,0,0,0,NA,"uc033bmv.1",NA
43176,0,0,0,0,0,0,0,0,NA,"uc033bmw.1",NA
43177,28.54,16.68,47.43,65.93,60.09,19.98,13.42,56.84,"55636","uc003xue.3,uc003xuf.3,uc022aux.1","CHD7"
43178,0,0,0,0,0,0,0,0,NA,"uc033bmx.1",NA
