"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
316,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0
329,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0
331,0,0,2.42,0,2.55,0,1.13,0.92
332,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0
335,666.82,584.45,594.81,441.97,4194.88,651.76,290.64,159.88
336,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0
338,0,0,0,0,8,0,0,0
339,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0
341,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0
345,0,0,0,0.98,10.53,5.76,0,3
346,15.62,12.56,9.11,9.33,228.48,47.91,26.27,7.01
347,3,0,2,0,163.32,131.03,19,0
348,0,0,0,0,0,0,0,0
349,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0
351,66,4,9,0.79,50.88,2.19,2.97,1.14
352,9.68,43.65,44.98,23.45,399.86,140.21,71.95,11.66
353,76.74,85.89,13.7,42.63,247.49,165.44,40.45,27.9
354,0,0,0,0,158.26,0,111.51,21.99
355,0,28,1,0,145.74,2,37,0
356,0,1,2.04,1,27.87,7.51,95.46,0.81
357,6,1,63,2,356.65,2,230,2.69
358,0,0,0,0,0,0,0,0
359,12.53,6.39,5.86,8.52,260.11,44.65,32.41,12.85
360,0,0,0,0,0,0,0,0
361,125.13,21.17,7.5,27.1,1161.72,244.43,87.86,40.52
362,2.01,2.43,0,1,0,0,6.19,0
363,10.61,0.97,0.16,67.46,64.63,16.51,4.95,1.06
364,794.18,301.01,2049.71,112.95,2589.24,530.24,466.2,372.05
365,0,0,0,0,0,0,0,0
366,99,1,2,1,383.52,0,1,54
367,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0
370,0,0,0,0,7,0,0,0
371,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0
